id,stopwords
1,aby
2,ach
3,acz
4,aczkolwiek
5,aj
6,albo
7,ale
8,alez
9,ależ
10,ani
11,az
12,aż
13,bardziej
14,bardzo
15,beda
16,bedzie
17,bez
18,deda
19,będą
20,bede
21,będę
22,będzie
23,bo
24,bowiem
25,by
26,byc
27,być
28,byl
29,byla
30,byli
31,bylo
32,byly
33,był
34,była
35,było
36,były
37,bynajmniej
38,cala
39,cali
40,caly
41,cała
42,cały
43,ci
44,cie
45,ciebie
46,cię
47,co
48,cokolwiek
49,cos
50,coś
51,czasami
52,czasem
53,czemu
54,czy
55,czyli
56,daleko
57,dla
58,dlaczego
59,dlatego
60,do
61,dobrze
62,dokad
63,dokąd
64,dosc
65,dość
66,duzo
67,dużo
68,dwa
69,dwaj
70,dwie
71,dwoje
72,dzis
73,dzisiaj
74,dziś
75,gdy
76,gdyby
77,gdyz
78,gdyż
79,gdzie
80,gdziekolwiek
81,gdzies
82,gdzieś
83,go
84,i
85,ich
86,ile
87,im
88,inna
89,inne
90,inny
91,innych
92,iz
93,iż
94,ja
95,jak
96,jakas
97,jakaś
98,jakby
99,jaki
100,jakichs
101,jakichś
102,jakie
103,jakis
104,jakiś
105,jakiz
106,jakiż
107,jakkolwiek
108,jako
109,jakos
110,jakoś
111,ją
112,je
113,jeden
114,jedna
115,jednak
116,jednakze
117,jednakże
118,jedno
119,jego
120,jej
121,jemu
122,jesli
123,jest
124,jestem
125,jeszcze
126,jeśli
127,jezeli
128,jeżeli
129,juz
130,już
131,kazdy
132,każdy
133,kiedy
134,kilka
135,kims
136,kimś
137,kto
138,ktokolwiek
139,ktora
140,ktore
141,ktorego
142,ktorej
143,ktory
144,ktorych
145,ktorym
146,ktorzy
147,ktos
148,ktoś
149,która
150,które
151,którego
152,której
153,który
154,których
155,którym
156,którzy
157,ku
158,lat
159,lecz
160,lub
161,ma
162,mają
163,mało
164,mam
165,mi
166,miedzy
167,między
168,mimo
169,mna
170,mną
171,mnie
172,moga
173,mogą
174,moi
175,moim
176,moj
177,moja
178,moje
179,moze
180,mozliwe
181,mozna
182,może
183,możliwe
184,można
185,mój
186,mu
187,musi
188,my
189,na
190,nad
191,nam
192,nami
193,nas
194,nasi
195,nasz
196,nasza
197,nasze
198,naszego
199,naszych
200,natomiast
201,natychmiast
202,nawet
203,nia
204,nią
205,nic
206,nich
207,niech
208,niego
209,niej
210,niemu
211,nigdy
212,nim
213,nimi
214,niz
215,niż
216,no
217,o
218,obok
219,od
220,około
221,on
222,ona
223,one
224,oni
225,ono
226,oraz
227,oto
228,owszem
229,pan
230,pana
231,pani
232,po
233,pod
234,podczas
235,pomimo
236,ponad
237,poniewaz
238,ponieważ
239,powinien
240,powinna
241,powinni
242,powinno
243,poza
244,prawie
245,przeciez
246,przecież
247,przed
248,przede
249,przedtem
250,przez
251,przy
252,roku
253,rowniez
254,również
255,sam
256,sama
257,są
258,sie
259,się
260,skad
261,skąd
262,soba
263,sobą
264,sobie
265,sposob
266,sposób
267,swoje
268,ta
269,tak
270,taka
271,taki
272,takie
273,takze
274,także
275,tam
276,te
277,tego
278,tej
279,ten
280,teraz
281,też
282,to
283,toba
284,tobą
285,tobie
286,totez
287,toteż
288,totobą
289,trzeba
290,tu
291,tutaj
292,twoi
293,twoim
294,twoj
295,twoja
296,twoje
297,twój
298,twym
299,ty
300,tych
301,tylko
302,tym
303,u
304,w
305,wam
306,wami
307,was
308,wasz
309,wasza
310,wasze
311,we
312,według
313,wiele
314,wielu
315,więc
316,więcej
317,wlasnie
318,właśnie
319,wszyscy
320,wszystkich
321,wszystkie
322,wszystkim
323,wszystko
324,wtedy
325,wy
326,z
327,za
328,zaden
329,zadna
330,zadne
331,zadnych
332,zapewne
333,zawsze
334,ze
335,zeby
336,zeznowu
337,zł
338,znow
339,znowu
340,znów
341,zostal
342,został
343,żaden
344,żadna
345,żadne
346,żadnych
347,że
348,żeby
